,개방서비스명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),경도,위도
0,빙상장업,영업/정상,서울특별시 양천구 목동 914번지 목동종합운동장,189469.901305589,447591.034147017,126.87876625310633,37.53050256944644
1,빙상장업,영업/정상,서울특별시 양천구 목동 914번지,189469.901305589,447591.034147017,126.87876625310633,37.53050256944644
2,빙상장업,영업/정상,서울특별시 서대문구 창천동 53-37,194075.795001159,450666.548754744,126.93084977264563,37.558254075223374
3,빙상장업,영업/정상,서울특별시 성북구 안암동5가 1-2 23필지,202789.692329185,454049.551940162,127.02948334277072,37.588749930201324
4,빙상장업,영업/정상,서울특별시 중구 장충동2가 산 5-5번지,200193.232424569,449809.744684888,127.00008474363848,37.55055379679799
5,빙상장업,영업/정상,서울특별시 송파구 잠실동 40-1,208589.363343145,445455.90405262,127.09504902014581,37.51128661020394
6,빙상장업,영업/정상,서울특별시 구로구 고척동 186-5번지 현준프라자 비101호,187616.089122175,444951.486533703,126.85783794211062,37.506697280019594
7,빙상장업,영업/정상,서울특별시 서초구 서초동 1317-23번지 외7필지(지1층),202247.706111059,443957.177029663,127.0233168189917,37.49781988132869
8,빙상장업,영업/정상,서울특별시 서초구 서초동 700번지 예술의전당,201278.647889967,442099.753091778,127.01235512105876,37.481086266985
9,빙상장업,영업/정상,서울특별시 서초구 서초동 1627-1 교대벤처타워,201430.47661735,442950.471520545,127.01407327756445,37.48875103703176
10,빙상장업,영업/정상,서울특별시 양천구 목동 914번지 목동종합운동장,189469.901305589,447591.034147017,126.87876625310633,37.53050256944644
11,빙상장업,영업/정상,서울특별시 성동구 용답동 227-1 화성개발장한평,205204.624667769,450982.009547642,127.05680437863916,37.56110146507699
12,빙상장업,영업/정상,서울특별시 양천구 신월동 952-1,185177.64285441,446600.090923182,126.83022614508207,37.52151499792414
13,빙상장업,영업/정상,서울특별시 노원구 월계동 468-5 외15필지,205198.498721037,457486.206509046,127.05678061848072,37.619703299744835
14,빙상장업,영업/정상,서울특별시 노원구 하계동 288-1번지 동천학원내,206402.099724168,460228.467088494,127.07043753625302,37.64440295241247
15,빙상장업,영업/정상,"서울특별시 구로구 고척동 60-34 제니스스포츠클럽 B,C동",188459.808425308,444722.121126965,126.86738389751793,37.50464169500675
16,빙상장업,영업/정상,서울특별시 송파구 거여동 36-4 지하1층,212888.836152533,443453.900365339,127.14364350895868,37.49319894242757
17,빙상장업,영업/정상,서울특별시 강서구 내발산동 646-1 순봉빌딩 지하1층,185769.038881853,450647.924741271,126.83683728004398,37.55799488404865
18,빙상장업,영업/정상,서울특별시 강남구 신사동 528번지 지하1층,201701.418320002,446697.701706035,127.01714520000503,37.522513060262156
19,빙상장업,영업/정상,서울특별시 영등포구 여의도동 81-8,192257.95660538,448078.532426612,126.9103036169728,37.534922691915696
