,개방서비스명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),경도,위도
0,종합체육시설업,휴업,서울특별시 은평구 구산동 1-24 상원빌딩 지층,192563.874496397,456570.084566278,126.9136779568427,37.611432967592606
1,종합체육시설업,휴업,서울특별시 마포구 중동 64-2,191389.086502386,452149.876908843,126.90042499397566,37.571597305908966
2,종합체육시설업,휴업,서울특별시 강남구 역삼동 837-11번지,202725.962072631,443203.561575728,127.02872247114713,37.49102855576122
3,종합체육시설업,영업/정상,서울특별시 강남구 개포동 1273 포이초등학교,204558.513478279,441491.962568552,127.04943362958775,37.4755999363249
4,종합체육시설업,영업/정상,서울특별시 양천구 목동 916 현대하이페리온,188884.075622342,447186.888604306,126.87214469362013,37.52685433788699
5,종합체육시설업,영업/정상,서울특별시 서초구 신원동 271-21번지 오라카이 청계산호텔,204773.965728195,438573.091945475,127.05185071379853,37.449299718341315
6,종합체육시설업,영업/정상,서울특별시 송파구 가락동 99-3 제일오피스텔,210431.832858016,443465.4592322,127.11586032572514,37.493333922801575
7,종합체육시설업,영업/정상,서울특별시 강남구 일원동 617번지 영희초등학교,207117.994691239,443307.454733568,127.07838642319217,37.49194154400481
8,종합체육시설업,영업/정상,서울특별시 강남구 신사동 603,202482.216634599,447020.420866992,127.02597885995469,37.52541902867712
9,종합체육시설업,영업/정상,서울특별시 강남구 논현동 168 논현초등학교,202257.099030843,445111.142737302,127.0234264778209,37.508217069545225
10,종합체육시설업,영업/정상,서울특별시 강남구 신사동 550-11 신구초등학교,202068.297671494,446764.944152327,127.02129562033255,37.52311818787793
11,종합체육시설업,영업/정상,서울특별시 은평구 증산동 212 증산초등학교,191494.183129866,453352.138713529,126.90160059957925,37.58243049517543
12,종합체육시설업,영업/정상,서울특별시 동작구 대방동 345-1 서울여성플라자,193488.803913749,445486.44432686,126.92425276950328,37.511577716745514
13,종합체육시설업,영업/정상,서울특별시 중랑구 중화동 207-0 외 4필지,206997.270586637,454794.043242834,127.0771297536726,37.59543561118659
14,종합체육시설업,영업/정상,"서울특별시 영등포구 여의도동 28-3 메리어트호텔 지하 1,2층",192739.314354154,446552.469845648,126.91576497025216,37.521176914893275
15,종합체육시설업,영업/정상,서울특별시 영등포구 여의도동 23-1번지,193407.473067714,447036.978914386,126.92331883089005,37.525547374761935
16,종합체육시설업,영업/정상,서울특별시 중구 태평로2가 23,197979.021229862,451376.783371586,126.97502316260396,37.56467030649743
17,종합체육시설업,영업/정상,서울특별시 중구 신당동 330-2번지,201182.331466693,450680.231675328,127.01127921211408,37.558396132132394
18,종합체육시설업,영업/정상,서울특별시 중구 을지로6가 58-5,200314.646974736,451554.066925226,127.00145932641341,37.56626993695166
19,종합체육시설업,영업/정상,서울특별시 중구 장충동2가 202-0번지,200463.625303538,450497.460903907,127.0031450195836,37.55674997726851
20,종합체육시설업,영업/정상,서울특별시 중구 소공동 1,198259.65357739,451392.198218657,126.97819950053709,37.564809784842865
21,종합체육시설업,영업/정상,서울특별시 중구 장충동2가 산 5-5번지,200193.232424569,449809.744684888,127.00008474363848,37.55055379679799
22,종합체육시설업,영업/정상,서울특별시 중구 소공동 87-1,198172.151119488,451350.969223428,126.97720919642121,37.564438140714685
23,종합체육시설업,영업/정상,서울특별시 중구 장충동2가 186-54,200141.998469463,450878.102981055,126.99950506721908,37.56017960658875
24,종합체육시설업,영업/정상,서울특별시 서초구 서초동 1446-11 지하1층,201347.665918617,442312.725051308,127.0131358112629,37.48300505427869
25,종합체육시설업,영업/정상,서울특별시 서초구 잠원동 6-1번지,201530.475526772,446268.294338007,127.01521059324945,37.51864440627309
26,종합체육시설업,영업/정상,"서울특별시 서초구 방배동 852-14 방배열린문화센터 지하1, 지상5.6.7층",199238.761074632,442981.986445438,126.98929113211636,37.48903562773093
27,종합체육시설업,영업/정상,"서울특별시 서대문구 창천동 29-81 지하 3,4,5,6층",194474.81938437,450422.374151297,126.93536765488322,37.55605659382556
28,종합체육시설업,영업/정상,서울특별시 서대문구 북아현동 215번지 북성초등학교,195688.092989832,450774.846649942,126.949096571311,37.55923889212405
29,종합체육시설업,영업/정상,서울특별시 서대문구 홍은동 48 홍제초등학교 내,194976.3838965,454477.712168964,126.94101588609486,37.592597561133935
30,종합체육시설업,영업/정상,서울특별시 송파구 문정동 90 문정고등학교내,211158.583786406,442572.332153712,127.12406485264562,37.48527842300429
31,종합체육시설업,영업/정상,서울특별시 용산구 한강로3가 40-969,196610.663839509,447742.348636253,126.9595523192615,37.531920260208636
32,종합체육시설업,영업/정상,서울특별시 용산구 한남동 805번지 한남동 하이페리온 101동 101호,200357.541925483,447271.660261703,127.00194313996816,37.52768580269129
33,종합체육시설업,영업/정상,서울특별시 송파구 오금동 51-0번지 오금근린공원내,211618.842468751,444430.324517026,127.12929798436444,37.502013246978485
34,종합체육시설업,영업/정상,서울특별시 송파구 신천동 7-19번지 시그마타워 지하1층,208994.017991356,445826.545566831,127.09963038912699,37.51462224861937
35,종합체육시설업,영업/정상,서울특별시 송파구 방이동 88-2번지,211073.35603022,446095.113429039,127.12315391223456,37.51701957748816
36,종합체육시설업,영업/정상,서울특별시 서초구 서초동 1324-2,201996.383632718,443517.33412224,127.02047357406215,37.49385745942082
37,종합체육시설업,영업/정상,서울특별시 서초구 서초동 1324-14,201993.714242549,443438.041140726,127.02044318094543,37.49314303547363
38,종합체육시설업,영업/정상,서울특별시 서초구 서초동 1451-34,201055.049081675,442298.468220422,127.00982737589405,37.48287696000199
39,종합체육시설업,영업/정상,서울특별시 서초구 양재동 24번지,203028.520902327,442302.889340581,127.03214003476127,37.48291257234801
40,종합체육시설업,영업/정상,서울특별시 서초구 서초동 1490-25번지 외 4,200245.053119318,442344.440382673,127.000669338521,37.483291683115105
41,종합체육시설업,영업/정상,서울특별시 서초구 방배동 1025-2번지,200071.607598216,441553.175701974,126.99870829455999,37.47616239114244
42,종합체육시설업,영업/정상,서울특별시 서초구 방배동 796-27번지,199106.271025753,443467.016326339,126.9877924072691,37.49340561954454
43,종합체육시설업,영업/정상,서울특별시 서초구 반포동 114-3번지,199155.94319235,444069.63527203,126.98835335033361,37.498835262433225
44,종합체육시설업,영업/정상,서울특별시 서초구 서초동 1645-0,201836.199766856,443284.171448529,127.01866166280155,37.49175698522736
45,종합체육시설업,영업/정상,서울특별시 서초구 반포동 19-3번지,200250.447804795,444683.220506107,127.00073092406278,37.5043640841491
46,종합체육시설업,영업/정상,서울특별시 종로구 연지동 136-74번지 서울보증보험,199998.556147267,452379.49778015,126.99788145784447,37.573707001469664
47,종합체육시설업,영업/정상,서울특별시 종로구 구기동 105-1,196196.102280624,456120.471852388,126.95481791183269,37.60740448119515
48,종합체육시설업,영업/정상,서울특별시 양천구 목동 908-28,189423.528553032,448240.505845376,126.87823221169876,37.53635372127709
49,종합체육시설업,영업/정상,서울특별시 양천구 목동 900-21번지,189652.39063982,448786.041926499,126.88081390091952,37.54127156280498
50,종합체육시설업,영업/정상,서울특별시 용산구 이태원동 22-76 몬드리안 서울 이태원,199337.628628981,447413.487156381,126.99040467131172,37.52896341541847
51,종합체육시설업,영업/정상,서울특별시 용산구 한남동 747-7,199737.097413554,448587.753314794,126.99492343489212,37.53954370523685
52,종합체육시설업,영업/정상,서울특별시 종로구 종로6가 289-3,200717.7490316,452011.865092338,127.0060223981139,37.57039444707672
53,종합체육시설업,영업/정상,서울특별시 종로구 종로2가 9번지 YMCA,198630.79627088,452035.412646906,126.9823990809181,37.57060572375323
54,종합체육시설업,영업/정상,서울특별시 종로구 청운동 123번지 청운초등학교,197224.271406687,453711.382151747,126.96647138020427,37.58570272220821
55,종합체육시설업,영업/정상,서울특별시 강남구 논현동 211-21,203021.90910205,445735.022021415,127.03207907096856,37.51383607002111
56,종합체육시설업,영업/정상,서울특별시 강북구 우이동 346 파라스파라 서울,200704.539774217,462416.392839185,127.00588197421303,37.66413724534408
57,종합체육시설업,영업/정상,서울특별시 서초구 우면동 671 하이디하우스,201851.907365758,440538.66418347,127.01883261662098,37.46701988297665
58,종합체육시설업,영업/정상,서울특별시 송파구 신천동 29-1 KT송파타워,209337.104501753,445744.864426145,127.10351003071983,37.5138829236026
59,종합체육시설업,영업/정상,서울특별시 성북구 동소문동6가 27-1 서울돈암초등학교,201077.338360506,454560.112910776,127.0100962919514,37.593353482055385
60,종합체육시설업,영업/정상,서울특별시 종로구 신문로2가 171,197458.838227559,451820.889548579,126.96913382245029,37.568670327648924
61,종합체육시설업,영업/정상,서울특별시 성북구 장위동 68-8 서울장위초등학교,204335.161989303,456645.314725935,127.04699672083663,37.61213144118601
62,종합체육시설업,영업/정상,서울특별시 강남구 도곡동 949-3 캠코양재타워,202880.352622758,442776.692188896,127.03046661235302,37.48718200368887
63,종합체육시설업,영업/정상,서울특별시 강남구 역삼동 676 센터필드,203599.062771687,444556.062267296,127.0386015657005,37.50321164604461
