,개방서비스명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),경도,위도
0,단란주점영업,영업/정상,서울특별시 서대문구 창천동 29-44,194418.459152848,450505.48576507,126.93472916826505,37.55680507729897
1,단란주점영업,영업/정상,서울특별시 서대문구 창천동 33-32,194317.656089996,450640.753150361,126.9335872762821,37.55802319913562
2,단란주점영업,영업/정상,서울특별시 성북구 정릉동 110-26번지,201199.038833667,455570.438988768,127.01147586891652,37.60245621327457
3,단란주점영업,영업/정상,서울특별시 서대문구 홍제동 173-2,195024.356116131,453992.743836303,126.94156240495282,37.58822833600662
4,단란주점영업,영업/정상,서울특별시 서대문구 충정로2가 5-6,196902.452816035,451534.617190685,126.96283719557117,37.56608930617547
5,단란주점영업,영업/정상,서울특별시 서대문구 홍제동 326-38 3층,194784.342699366,454259.643920792,126.93884300207614,37.5906317194068
6,단란주점영업,영업/정상,서울특별시 서대문구 연희동 86-1번지,194095.219137729,452077.232330651,126.9310581302213,37.570964293496274
7,단란주점영업,영업/정상,서울특별시 성북구 종암동 84-33,202876.09438452,455317.271044416,127.03046647663342,37.60017161805274
8,단란주점영업,영업/정상,서울특별시 성북구 길음동 877-197번지,201816.279240803,455550.33035947,127.01846567334684,37.602274070202924
9,단란주점영업,영업/정상,서울특별시 성북구 동선동1가 85-72번지,201562.944421646,454456.718864673,127.0155945885253,37.592421255564524
10,단란주점영업,영업/정상,서울특별시 서대문구 연희동 188-5번지 지층,193764.844451122,451556.444055327,126.92732289969202,37.56626985673203
11,단란주점영업,영업/정상,서울특별시 서대문구 홍제동 266-153,195261.484638569,454464.32301725,126.94424412994948,37.592478458468804
12,단란주점영업,영업/정상,서울특별시 서대문구 남가좌동 102-16 (지하1층),192536.305258225,451880.219043642,126.91341390258539,37.56917781137994
13,단란주점영업,영업/정상,서울특별시 성북구 동소문동3가 11번지,200788.111011648,454160.372867248,127.00682098145487,37.589752158238475
14,단란주점영업,영업/정상,서울특별시 서대문구 북가좌동 293-5,192202.362494588,453207.330401419,126.90961967218777,37.581132111383624
15,단란주점영업,영업/정상,서울특별시 성북구 장위동 74-248번지,204676.150920809,456816.53896409,127.05085977994595,37.61367249318868
16,단란주점영업,영업/정상,서울특별시 성북구 하월곡동 17-5,203757.403073624,455668.42038114,127.0404481972995,37.60333229964683
17,단란주점영업,영업/정상,서울특별시 성북구 동선동1가 4-6번지 지하 1층,201479.533131119,454361.569008206,127.01464995212008,37.59156410199008
18,단란주점영업,영업/정상,서울특별시 성북구 동선동1가 4-14번지,201424.519166983,454339.683538261,127.01402700436005,37.59136700015999
19,단란주점영업,영업/정상,서울특별시 서대문구 홍은동 48-159번지 외 1필지(48-161) 지하1층 전체,194856.297488308,454448.660787286,126.93965637099114,37.59233514133187
20,단란주점영업,영업/정상,서울특별시 서대문구 연희동 79-31,194201.136046399,452172.329044783,126.93225630516136,37.571821782769455
21,단란주점영업,영업/정상,서울특별시 서대문구 북가좌동 293-7,192228.990204877,453248.783567751,126.9099206844806,37.581505825163006
22,단란주점영업,영업/정상,서울특별시 성북구 삼선동1가 22-1,200503.350103623,453963.213362937,127.00359667641126,37.587975960210905
23,단란주점영업,영업/정상,서울특별시 성북구 보문동7가 96번지,201879.586506966,453021.235504972,127.01917632081224,37.57948718903372
24,단란주점영업,영업/정상,서울특별시 성북구 석관동 304-26,205210.218722222,456178.422277294,127.05690417571942,37.60792034935915
25,단란주점영업,영업/정상,"서울특별시 성북구 하월곡동 60-109번지 ,-107",203238.195387308,455814.602556877,127.03456906819008,37.60465131241078
26,단란주점영업,영업/정상,서울특별시 서대문구 북가좌동 351-2,192456.366937727,453652.460124417,126.91249066562996,37.58514479625125
27,단란주점영업,영업/정상,서울특별시 성북구 장위동 238-203번지,204175.956820081,456829.679261378,127.0451946268346,37.61379325599526
28,단란주점영업,영업/정상,서울특별시 성북구 정릉동 416-2번지,200905.833088996,455951.966956187,127.00815593975831,37.60589402905461
29,단란주점영업,영업/정상,서울특별시 서대문구 홍제동 326-12 지하1층,194801.032701714,454232.508849109,126.93903217060213,37.59038733222094
30,단란주점영업,영업/정상,서울특별시 성북구 동선동1가 3-7 지하,201444.057488281,454400.123626218,127.01424834431204,37.59191152700336
31,단란주점영업,영업/정상,서울특별시 성북구 삼선동5가 298-10 광남제니텔 B01호,201351.270766845,454090.595424116,127.01319719876933,37.589122859241854
32,단란주점영업,영업/정상,서울특별시 성북구 장위동 50-20,205179.796995456,456692.697220396,127.05656323788988,37.61255404034742
33,단란주점영업,영업/정상,서울특별시 성북구 동소문동2가 227번지,200662.617377602,454094.531352725,127.0054000341553,37.58915902612279
34,단란주점영업,영업/정상,서울특별시 성북구 정릉동 408-11,200850.193896796,456070.122190143,127.00752595928317,37.60695863607554
35,단란주점영업,영업/정상,"서울특별시 성북구 종암동 3-544번지 ,3-71,124-80",202729.389012378,455618.757742639,127.02880628023134,37.602888398451455
36,단란주점영업,영업/정상,서울특별시 성북구 보문동4가 74번지,201792.136156417,453371.360654076,127.0181871310081,37.58264193663895
37,단란주점영업,영업/정상,서울특별시 성북구 동선동1가 121-7번지,201600.881734218,454579.396404094,127.01602440387542,37.593526498569226
38,단란주점영업,영업/정상,서울특별시 성북구 장위동 75-111,204560.937989649,456923.320184828,127.04955552781398,37.614635141836224
39,단란주점영업,영업/정상,서울특별시 성북구 장위동 225-47번지,204048.706185329,456846.083931684,127.04375346580126,37.613941618810344
40,단란주점영업,영업/정상,서울특별시 성북구 장위동 237-278,204228.616783497,457110.842501563,127.04579265736874,37.61632624589195
41,단란주점영업,영업/정상,서울특별시 성북구 하월곡동 90-121,202737.481926093,455894.719728196,127.02889893519918,37.605374744534984
42,단란주점영업,영업/정상,서울특별시 서대문구 홍제동 139-45 지하1층,195255.302109637,453798.487252104,126.94417849635776,37.58647934862956
43,단란주점영업,영업/정상,서울특별시 서대문구 홍은동 48-173번지,194810.977858157,454408.278005996,126.93914351453465,37.591971041416045
44,단란주점영업,영업/정상,서울특별시 서대문구 충정로2가 91-2번지 2층,196899.242661444,451416.684310938,126.9628013691579,37.565026733477424
45,단란주점영업,영업/정상,서울특별시 서대문구 남가좌동 102-28번지 (지하1층),192537.327821021,451870.070948229,126.91342558143269,37.56908638670191
46,단란주점영업,영업/정상,서울특별시 서대문구 홍제동 330-33번지 지하1층,194859.964604293,454131.127169943,126.9397001487019,37.589474234065456
47,단란주점영업,영업/정상,서울특별시 서대문구 홍제동 294-4 (지하1층),194837.207324726,454290.765291234,126.93944134305823,37.59091241971296
48,단란주점영업,영업/정상,서울특별시 성북구 삼선동1가 17번지,200540.663674917,453936.394625891,127.00401912945023,37.58773430881197
49,단란주점영업,영업/정상,서울특별시 서대문구 홍제동 305-1번지,194966.890297841,454121.332871508,126.94091087095946,37.58938658711814
50,단란주점영업,영업/정상,서울특별시 서대문구 홍은동 277-75,194265.577364231,453288.294020793,126.93297693594369,37.581876882525144
51,단란주점영업,영업/정상,서울특별시 성북구 보문동7가 22-5번지,201890.82334265,453156.226397094,127.01930386797844,37.5807034163909
52,단란주점영업,영업/정상,"서울특별시 성북구 하월곡동 67-29번지 67-29,30,31, 96-222",203274.204699586,455671.111735451,127.03497623354362,37.60335836020789
53,단란주점영업,영업/정상,서울특별시 성북구 종암동 83-6번지,202833.360809674,455390.15755761,127.02998283665849,37.60082844281108
54,단란주점영업,영업/정상,서울특별시 서대문구 북가좌동 278-1,192359.530890607,453474.882927471,126.91139618144067,37.58354404775321
55,단란주점영업,영업/정상,서울특별시 성북구 동선동1가 3-3번지,201472.50197278,454414.215156751,127.01457044152464,37.59203844646587
56,단란주점영업,영업/정상,서울특별시 성북구 동소문동2가 230번지,200646.281524448,454085.385083423,127.00521506672027,37.5890766300678
57,단란주점영업,영업/정상,서울특별시 성북구 정릉동 286-17번지,200723.30707813,456533.781780458,127.0060893778149,37.61113622502137
58,단란주점영업,영업/정상,서울특별시 서대문구 남가좌동 102-20번지,192534.529556917,451902.338387049,126.91339357579108,37.56937708929891
59,단란주점영업,영업/정상,서울특별시 서대문구 북가좌동 279-12,192308.84481427,453379.43944147,126.91082334987627,37.58268369092574
60,단란주점영업,영업/정상,서울특별시 서대문구 연희동 188-88 지하1층,193750.61124475,451538.50221493,126.92716195028423,37.56610810552207
61,단란주점영업,영업/정상,서울특별시 성북구 동선동1가 4-8번지 (지하1층),201465.190998442,454355.960889464,127.01448754959677,37.59151359562923
62,단란주점영업,영업/정상,서울특별시 성북구 동선동1가 4-10,201450.757636249,454350.190322678,127.0143241140216,37.591461625549826
63,단란주점영업,영업/정상,서울특별시 성북구 동선동1가 94번지,201516.0668654,454491.698091543,127.01506387078729,37.592736488067686
64,단란주점영업,영업/정상,서울특별시 서대문구 창천동 72-5 (지하1층),194189.077614751,450440.950636088,126.9321336728325,37.55622218921811
65,단란주점영업,영업/정상,서울특별시 서대문구 홍제동 139-3,195297.115525465,453758.055553504,126.94465216813737,37.58611528247562
66,단란주점영업,영업/정상,서울특별시 서대문구 북아현동 126-44,196190.873749224,450591.841668215,126.9547879159967,37.557592286376355
67,단란주점영업,영업/정상,서울특별시 서대문구 북아현동 221-13번지,195615.541549551,450564.213621292,126.94827672465638,37.55734076347977
68,단란주점영업,영업/정상,서울특별시 서대문구 충정로2가 115-10,196872.008507119,451364.914819205,126.96249333948965,37.564560202315235
69,단란주점영업,영업/정상,서울특별시 서대문구 홍은동 201-1번지,194211.997213753,454098.970268002,126.93236386858618,37.58918061490747
70,단란주점영업,영업/정상,서울특별시 서대문구 홍은동 275-7번지,194246.653607374,453110.798180772,126.93276410437986,37.580277551085246
71,단란주점영업,영업/정상,서울특별시 성북구 보문동4가 90-2번지,201855.20579372,453242.288354045,127.01890084964138,37.58147889271087
