,개방서비스명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),경도,위도
0,유흥주점영업,영업/정상,서울특별시 중구 명동1가 45-1번지,198556.141608393,451362.77051901,126.98155540796063,37.5645451775195
1,유흥주점영업,영업/정상,서울특별시 동대문구 장안동 366-2,206231.420255296,452041.476809255,127.06843465123481,37.57064083989801
2,유흥주점영업,영업/정상,서울특별시 송파구 방이동 34-4 타임모텔 지하1층 102호,209542.74681331,445930.621574388,127.10583843371602,37.51555449795454
3,유흥주점영업,영업/정상,서울특별시 종로구 종로5가 115번지,199923.932150837,452161.024767411,126.99703675565023,37.57173857839628
4,유흥주점영업,영업/정상,서울특별시 강서구 마곡동 795-6 뉴골든타워,185554.299381324,450891.312361248,126.83440213559119,37.5601844171637
5,유흥주점영업,영업/정상,서울특별시 강서구 마곡동 795-6 뉴골든타워,185554.299381324,450891.312361248,126.83440213559119,37.5601844171637
6,유흥주점영업,영업/정상,서울특별시 강동구 천호동 416-5,211080.924701849,448665.20259174,127.12327804933314,37.54017579159654
7,유흥주점영업,영업/정상,서울특별시 강남구 논현동 118-17 세한빌딩 지하1층,203483.649399269,446102.236098458,127.03730350220597,37.517143060338604
8,유흥주점영업,영업/정상,서울특별시 영등포구 영등포동3가 15-4,191847.828354314,446267.566982893,126.90568361859984,37.51860245079263
9,유흥주점영업,영업/정상,서울특별시 종로구 종로3가 6 4층,199041.009248479,452032.239570663,126.98704250602414,37.57057768170662
10,유흥주점영업,영업/정상,서울특별시 강북구 수유동 191-29 피카소모텔 지하1층,202268.511236115,459679.768192028,127.02359933790459,37.639478511163276
11,유흥주점영업,영업/정상,서울특별시 관악구 신림동 538-1,192344.104165473,442239.730505715,126.9113395751414,37.48231602383009
12,유흥주점영업,영업/정상,서울특별시 구로구 오류동 55-14,186149.000717898,443754.961884834,126.84126803122673,37.49589571151773
13,유흥주점영업,영업/정상,서울특별시 영등포구 영등포동3가 9-23 지하1층,191690.8808747,446122.774558898,126.9039099306708,37.51729646839726
14,유흥주점영업,영업/정상,서울특별시 영등포구 여의도동 44-35번지 지하13호,193818.18014,446332.089777304,126.92797103241683,37.51919923260958
15,유흥주점영업,영업/정상,서울특별시 영등포구 영등포동3가 16-2 지하1층,191744.060478324,446293.067258591,126.90450954296143,37.51883127748179
16,유흥주점영업,영업/정상,서울특별시 은평구 갈현동 398-10번지 지층,192866.582388638,457369.941333341,126.91709847100044,37.61864193614404
17,유흥주점영업,영업/정상,서울특별시 은평구 불광동 281-92번지 (지하1층),193757.383292528,456499.068228056,126.92719590471218,37.61080207972497
18,유흥주점영업,영업/정상,서울특별시 영등포구 영등포동3가 8-1번지 지하1~2층,191650.262823467,446234.789725611,126.90344919930455,37.51830534986536
19,유흥주점영업,영업/정상,서울특별시 영등포구 여의도동 44-14,193870.812916718,446351.97420108,126.92856623417192,37.51937874492577
20,유흥주점영업,영업/정상,서울특별시 영등포구 영등포동3가 21-19번지 지하1층(일부),191767.527556188,446147.419212092,126.90477663880644,37.5175192074704
21,유흥주점영업,영업/정상,서울특별시 영등포구 영등포동3가 3-7,191904.860087032,446275.186382384,126.90632865772767,37.518671607032935
22,유흥주점영업,영업/정상,서울특별시 서초구 방배동 444-9,198341.208478761,441691.64555121,126.97914532867806,37.47740840205649
23,유흥주점영업,영업/정상,서울특별시 성북구 종암동 3-1235번지,202988.136368971,455286.462033212,127.03173511846704,37.59989368498184
24,유흥주점영업,영업/정상,서울특별시 성북구 동소문동6가 133-2번지 (지하1층),201363.138481996,454514.752552042,127.01333232081821,37.59294443356076
25,유흥주점영업,영업/정상,서울특별시 성북구 동선동4가 7 외 1필지,201394.713957557,454544.984917895,127.01368990225076,37.593216777391724
26,유흥주점영업,영업/정상,서울특별시 성북구 동소문동5가 85번지,201386.544353134,454412.772727911,127.01359715958226,37.592025577831706
27,유흥주점영업,영업/정상,서울특별시 성북구 동선동1가 2-12번지,201414.192716298,454407.004970482,127.01391020527679,37.59197357111476
28,유흥주점영업,영업/정상,서울특별시 성북구 보문동4가 77-2번지 브라운관광호텔 지하1층,201810.388914346,453337.054032254,127.01839369530406,37.58233280435258
29,유흥주점영업,영업/정상,서울특별시 송파구 방이동 24-0 지상3층,209443.501250283,445885.938643454,127.1047152776697,37.515152920586814
30,유흥주점영업,영업/정상,서울특별시 송파구 잠실동 182-0 지하1층,207203.878703999,445431.920595287,127.07937817948711,37.51108227193424
31,유흥주점영업,영업/정상,서울특별시 송파구 잠실동 183-9,207417.944862342,445410.851148168,127.08179917069582,37.51089075710252
32,유흥주점영업,영업/정상,서울특별시 은평구 불광동 281-172 (지하1층),193802.267465881,456419.663955141,126.92770492499733,37.61008696884816
33,유흥주점영업,영업/정상,서울특별시 서초구 서초동 1588-8 지하1층,201188.921252954,442592.594826449,127.01134142246079,37.48552689097469
34,유흥주점영업,영업/정상,서울특별시 서초구 서초동 1694-22번지,201168.748437129,443610.811016678,127.01111486196272,37.49470104583851
35,유흥주점영업,영업/정상,서울특별시 은평구 불광동 281-173,193808.696174757,456410.316668709,126.92777781328004,37.61000279529315
36,유흥주점영업,영업/정상,서울특별시 은평구 녹번동 117-112 지하1층,193903.333435372,456197.927159351,126.928851414817,37.60808984410172
37,유흥주점영업,영업/정상,서울특별시 은평구 대조동 15-194,193598.348172363,456279.824091706,126.9253966707199,37.60882562752621
38,유흥주점영업,영업/정상,서울특별시 은평구 갈현동 395-7 (지1층),192868.600973071,457522.57527646,126.91711983389513,37.62001715243479
39,유흥주점영업,영업/정상,서울특별시 은평구 갈현동 395-28,192841.292492687,457500.729994254,126.91681072610247,37.61982011689163
40,유흥주점영업,영업/정상,서울특별시 은평구 불광동 281-170번지,193808.036987489,456437.340539197,126.92777011667201,37.61024627078086
41,유흥주점영업,영업/정상,서울특별시 은평구 불광동 281-97번지,193790.930484735,456463.092885474,126.92757615569833,37.61047817806696
42,유흥주점영업,영업/정상,서울특별시 은평구 응암동 599-57 (지층),192475.587282827,454044.581279963,126.91270421235431,37.58867790511219
43,유흥주점영업,영업/정상,서울특별시 서초구 서초동 1308-22,202131.267220636,444271.985142087,127.02200094913607,37.50065656652084
44,유흥주점영업,영업/정상,서울특별시 송파구 방이동 24-0 지상2층,209443.501250283,445885.938643454,127.1047152776697,37.515152920586814
45,유흥주점영업,영업/정상,서울특별시 송파구 가락동 98-6 지하3층,210463.282485743,443549.893536475,127.11621714577784,37.49409432065788
46,유흥주점영업,영업/정상,서울특별시 송파구 가락동 99-2 지상2층,210456.932121326,443484.595603431,127.1161444143581,37.49350605913963
47,유흥주점영업,영업/정상,서울특별시 성북구 길음동 877-195번지,201865.41760815,455541.255496062,127.01902211022382,37.60219221239722
48,유흥주점영업,영업/정상,서울특별시 성북구 보문동4가 77-2번지 외3필지(76번지포함),201810.388914346,453337.054032254,127.01839369530406,37.58233280435258
49,유흥주점영업,영업/정상,서울특별시 송파구 가락동 99-2번지,210456.932121326,443484.595603431,127.1161444143581,37.49350605913963
50,유흥주점영업,영업/정상,서울특별시 송파구 가락동 98-6 지하1층,210463.282485743,443549.893536475,127.11621714577784,37.49409432065788
