,개방서비스명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),경도,위도
0,집단급식소,영업/정상,서울특별시 성북구 정릉동 16-512 새마음요양병원,201828.206641704,455454.105258935,127.0186005114556,37.60140707558068
1,집단급식소,영업/정상,서울특별시 성북구 하월곡동 27-5 월곡송림건강랜드 6층,203457.014588706,455741.213733384,127.03704678796747,37.60398931135029
2,집단급식소,영업/정상,서울특별시 성북구 삼선동2가 391-4번지 한성여중,200943.712230988,453330.16529015,127.00858177028736,37.582271972747016
3,집단급식소,영업/정상,서울특별시 성북구 보문동2가 30번지,201455.768434709,453816.96690003,127.01437983739372,37.58665735474953
4,집단급식소,영업/정상,서울특별시 성북구 돈암동 609-1번지 한진아파트 419동,200841.726990037,454721.505180141,127.00742864011599,37.594807830058635
5,집단급식소,영업/정상,서울특별시 성북구 정릉동 772-4번지,200413.247151339,457098.325463549,127.00257800833985,37.61622282761449
6,집단급식소,영업/정상,서울특별시 성북구 길음동 1170번지,201917.04317965,456383.86994631,127.01960886663251,37.60978391788737
7,집단급식소,영업/정상,서울특별시 성북구 하월곡동 22-38,203587.237741727,455861.243326817,127.03852208928411,37.60507026773007
8,집단급식소,영업/정상,서울특별시 은평구 신사동 191-38번지 지하1층,191618.238233002,454433.015543248,126.902992607772,37.59217016904629
9,집단급식소,영업/정상,서울특별시 은평구 신사동 34-25번지 지하1층,192318.886527662,454750.226395576,126.91092254552152,37.5950343467733
10,집단급식소,영업/정상,서울특별시 은평구 역촌동 33-37번지 4층,192707.464179524,455693.762838759,126.91531301855478,37.60353863249313
11,집단급식소,영업/정상,서울특별시 은평구 응암동 631-2번지 2층,193070.037043459,454071.168901714,126.91943447392401,37.588922162675836
12,집단급식소,영업/정상,서울특별시 은평구 응암동 116-4번지 2층,192890.359038296,455138.374141213,126.91738965467194,37.59853612255669
13,집단급식소,영업/정상,서울특별시 은평구 역촌동 19-2 5층,192869.945987305,456036.517878195,126.91714967772508,37.606628077094804
14,집단급식소,영업/정상,서울특별시 은평구 녹번동 118-49번지 3층,193729.998902523,456175.832034438,126.92688855681303,37.607889594203066
15,집단급식소,영업/정상,서울특별시 영등포구 여의도동 1번지 의원회관 신관 2층,192450.93552236,447649.476828035,126.91249145084879,37.531058545204864
16,집단급식소,영업/정상,서울특별시 영등포구 신길동 466-3번지,192989.902623581,445488.546052407,126.91860987334886,37.511592965660846
17,집단급식소,영업/정상,서울특별시 영등포구 여의도동 16-1 한국수출입은행본점 1층,193159.124448371,447376.605815263,126.92050614297123,37.52860556713603
18,집단급식소,영업/정상,서울특별시 영등포구 신길동 4003번지 남서울교회,192437.491879911,444143.990885591,126.91237570996509,37.499474168240646
19,집단급식소,영업/정상,"서울특별시 영등포구 당산동4가 30-1번지 1,2층",191163.020002214,447493.266880905,126.89792245734088,37.52963957961301
20,집단급식소,영업/정상,서울특별시 영등포구 대림동 859-1 강성어린이스쿨어린이집,191252.203978066,443417.54856347,126.89898025195164,37.49291839150844
21,집단급식소,영업/정상,서울특별시 영등포구 여의도동 16-1번지,193159.124448371,447376.605815263,126.92050614297123,37.52860556713603
22,집단급식소,영업/정상,서울특별시 서대문구 남가좌동 368-1번지,192769.28029699,452988.785791757,126.91603999004315,37.579167720872476
23,집단급식소,영업/정상,서울특별시 서대문구 북가좌동 376-17번지,191779.873713689,452844.783469673,126.90484072525702,37.5778619136025
24,집단급식소,영업/정상,서울특별시 서대문구 북아현동 215-0번지,195688.092989832,450774.846649942,126.949096571311,37.55923889212405
25,집단급식소,영업/정상,서울특별시 영등포구 여의도동 34-9,193684.390403391,446606.448978265,126.92645525455592,37.521670280008756
26,집단급식소,영업/정상,서울특별시 은평구 녹번동 176-1번지,193069.856270254,455607.004333355,126.91941776127165,37.60275977958026
27,집단급식소,영업/정상,서울특별시 은평구 신사동 1-69 구립신사1어린이집 1층,192264.073383763,455220.938839997,126.91029687110402,37.5992749217683
28,집단급식소,영업/정상,서울특별시 은평구 응암동 334-12번지,192794.93431192,454113.80113481,126.91631925584859,37.5893041415399
29,집단급식소,영업/정상,서울특별시 은평구 응암동 98-74번지,193166.397073091,455299.737709527,126.92051392193696,37.59999209030182
30,집단급식소,영업/정상,서울특별시 은평구 불광동 641번지 북한산힐스테이트3차아파트관리동,194183.438617956,457350.932047179,126.93201439838924,37.61848002861125
31,집단급식소,영업/정상,서울특별시 은평구 대조동 59-23번지,193116.835631958,456210.865333832,126.91994404377151,37.60820081233531
32,집단급식소,영업/정상,서울특별시 은평구 응암동 427-90번지,192806.200312524,454662.654261981,126.91644137599532,37.59424930761106
33,집단급식소,영업/정상,서울특별시 은평구 신사동 350-39 1-3층,192209.956118498,454358.797833395,126.90969329910254,37.59150671782735
34,집단급식소,영업/정상,서울특별시 영등포구 여의도동 36-5번지 지하1층,193523.97428374,446462.507532018,126.92464188695826,37.520372252403654
