,개방서비스명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),경도,위도
0,석유판매업,휴업,서울특별시 마포구 공덕동 105-128,196011.399854851,449819.291586983,126.95276097454571,37.550630914701706
1,석유판매업,휴업,서울특별시 영등포구 문래동3가 76-3,190189.555837124,446087.483409005,126.88692822645794,37.51696365908262
2,석유판매업,휴업,서울특별시 양천구 신월동 525-1,185679.940724601,446374.736454938,126.83591258235695,37.51949253663676
3,석유판매업,휴업,서울특별시 양천구 신정동 161-5,188513.361632361,444866.075006676,126.86798729978064,37.50593938438576
4,석유판매업,휴업,서울특별시 양천구 신정동 1052-12,187081.650785867,446073.811311644,126.85177371870064,37.51680200013754
5,석유판매업,휴업,서울특별시 은평구 수색동 379-8,190321.180293801,453524.39376453,126.88831838477995,37.583970824125835
6,석유판매업,휴업,서울특별시 노원구 하계동 243-3,206143.38744079,459982.472421746,127.06750409448111,37.64218834695398
7,석유판매업,휴업,서울특별시 구로구 고척동 189,187511.867564721,444952.759288744,126.85665919068887,37.506707336813896
8,석유판매업,휴업,서울특별시 광진구 자양동 779-7,207280.551325515,448309.477746542,127.08027363501527,37.53700829804574
9,석유판매업,휴업,서울특별시 광진구 구의동 203-9,208106.35552549,449058.539100838,127.08962535105299,37.54375044764939
10,석유판매업,영업/정상,서울특별시 노원구 공릉동 230 현대@ 3동 406호,207261.781710467,458228.274013713,127.08015865647536,37.62637534153426
11,석유판매업,영업/정상,서울특별시 강남구 대치동 974 대치현대@ 103동 1001호,205321.843255713,444292.411805979,127.0580832096075,37.500827961227515
12,석유판매업,영업/정상,서울특별시 마포구 합정동 396-9,191871.95699286,449655.694430663,126.90591877592459,37.54912943427998
13,석유판매업,영업/정상,서울특별시 마포구 망원동 454-15,191029.592582978,450384.799730155,126.89637737831514,37.55569072600991
14,석유판매업,영업/정상,서울특별시 마포구 공덕동 253-42 지방재정회관 8층,195801.332676206,449344.223768584,126.95038650537515,37.54634964925161
15,석유판매업,영업/정상,서울특별시 마포구 성산동 21-1,192433.736073693,451418.064308563,126.91225769807686,37.56501301179299
16,석유판매업,영업/정상,서울특별시 마포구 염리동 488,195344.404826272,450384.565679174,126.94520928339658,37.555720805698684
17,석유판매업,영업/정상,서울특별시 용산구 한강로1가 231-23,197570.006193384,447953.578982142,126.97040530038218,37.53382652427138
18,석유판매업,영업/정상,서울특별시 마포구 동교동 176-8,193541.140742823,450557.614247439,126.92479970646716,37.55726895873456
19,석유판매업,영업/정상,서울특별시 동작구 상도동 355-20,194076.692856266,444318.185903254,126.93091165846717,37.501055741078474
20,석유판매업,영업/정상,서울특별시 종로구 가회동 679,189313.947214758,186128.599001917,126.88061165652516,35.17427500585276
21,석유판매업,영업/정상,서울특별시 성북구 성북동 330-344 6통5반,198806.498539062,455086.445013379,126.98438271189924,37.59809534749703
22,석유판매업,영업/정상,서울특별시 강남구 논현동 3-15 평화빌딩 302호,201872.403440328,445952.75898316,127.01907759751813,37.51580083880436
23,석유판매업,영업/정상,서울특별시 강남구 논현동 3-15 평화빌딩 302호,201872.403440328,445952.75898316,127.01907759751813,37.51580083880436
24,석유판매업,영업/정상,서울특별시 서대문구 홍제동 270-190 8통3반,195306.81023686,454174.957586387,126.94475922366158,37.589871556628616
25,석유판매업,영업/정상,서울특별시 강남구 역삼동 727-9 8통1반,203405.721138531,443926.327308964,127.03641213796485,37.497538463073376
26,석유판매업,영업/정상,서울특별시 강남구 역삼동 727-9 8통1반,203405.721138531,443926.327308964,127.03641213796485,37.497538463073376
27,석유판매업,영업/정상,서울특별시 강남구 역삼동 727-9 8통1반,203405.721138531,443926.327308964,127.03641213796485,37.497538463073376
28,석유판매업,영업/정상,서울특별시 강남구 역삼동 727-9 8통1반,203405.721138531,443926.327308964,127.03641213796485,37.497538463073376
29,석유판매업,영업/정상,서울특별시 강남구 역삼동 727-9 8통1반,203405.721138531,443926.327308964,127.03641213796485,37.497538463073376
30,석유판매업,영업/정상,서울특별시 강남구 역삼동 727-9 8통1반,203405.721138531,443926.327308964,127.03641213796485,37.497538463073376
31,석유판매업,영업/정상,서울특별시 강남구 논현동 3-15 평화빌딩 302호,201872.403440328,445952.75898316,127.01907759751813,37.51580083880436
32,석유판매업,영업/정상,서울특별시 노원구 상계동 1269 44통2반 수락파크빌 502동 1202호,204960.438272562,464099.692139359,127.0541284334077,37.67929047335636
33,석유판매업,영업/정상,서울특별시 강남구 대치동 984-1,205781.881518851,444424.790393808,127.06328680555012,37.502017956746236
34,석유판매업,영업/정상,서울특별시 영등포구 여의도동 13-11,192893.607786708,447619.813593085,126.9174999331708,37.5307948278214
35,석유판매업,영업/정상,서울특별시 영등포구 양평동4가 28,190911.17578689,448147.790559991,126.89506510861005,37.53553432350257
36,석유판매업,영업/정상,서울특별시 영등포구 신길동 3632-2,191859.74533489,444097.693174928,126.90584261945736,37.49905207634481
37,석유판매업,영업/정상,서울특별시 종로구 동숭동 130-65,200322.341016105,453141.774016418,127.00154697250649,37.580574976788895
38,석유판매업,영업/정상,서울특별시 종로구 평창동 103-1,197714.057733244,456392.885561665,126.97200804751735,37.60986400902834
39,석유판매업,영업/정상,서울특별시 종로구 홍지동 126-1,196322.52833049,455210.552274216,126.95625435058844,37.59920678678786
40,석유판매업,영업/정상,서울특별시 영등포구 도림동 243-2,191109.444526468,445065.062201183,126.8973459126968,37.507761071909485
41,석유판매업,영업/정상,서울특별시 영등포구 신길동 298-34,191640.075994113,445159.446247431,126.90334628674914,37.50861646150242
42,석유판매업,영업/정상,서울특별시 영등포구 신길동 4214,192837.758872576,444023.386588526,126.91690342502827,37.49839074388745
43,석유판매업,영업/정상,서울특별시 영등포구 당산동1가 254-3 3층 301호,190755.664846791,446690.693082202,126.89332408037818,37.52240442483265
44,석유판매업,영업/정상,서울특별시 영등포구 문래동3가 8-17,191163.996933784,445841.442864865,126.89795350752978,37.51475675496431
45,석유판매업,영업/정상,서울특별시 성동구 성수동1가 13-11,204392.856124013,449850.388293108,127.04761003220713,37.55090984202902
46,석유판매업,영업/정상,서울특별시 성동구 도선동 185-23,202939.325880101,451358.525300862,127.03116698486868,37.56450367932367
47,석유판매업,영업/정상,서울특별시 영등포구 당산동 121-106,191786.727629467,447312.65513159,126.90498070008535,37.52801808589166
48,석유판매업,영업/정상,서울특별시 영등포구 여의도동 17-2,192508.913834937,447309.297040882,126.91315088843417,37.527994025033905
49,석유판매업,영업/정상,서울특별시 영등포구 도림동 71,191817.199365771,445315.304547129,126.90534783215134,37.51002233750795
50,석유판매업,영업/정상,서울특별시 성동구 성수동1가 656-1208 성수만세주유소,203841.225547969,449475.540141228,127.04136554667328,37.54753491852543
51,석유판매업,영업/정상,서울특별시 성동구 용답동 229-5,205437.201136052,451018.700601004,127.05943696930724,37.56143072106574
52,석유판매업,영업/정상,서울특별시 영등포구 양평동4가 159-1,190992.043169641,448226.051690401,126.89597909314493,37.53624024861046
53,석유판매업,영업/정상,서울특별시 성동구 용답동 236-1,205968.822217882,450921.907971717,127.06545315301454,37.56055537824773
54,석유판매업,영업/정상,서울특별시 성동구 홍익동,202768.836112214,451684.742754053,127.02923847996296,37.56744337707934
55,석유판매업,영업/정상,서울특별시 성동구 사근동 185-7,204067.044891674,450871.215419671,127.04392853876222,37.56010886374068
56,석유판매업,영업/정상,서울특별시 영등포구 양평동3가 80-2,190508.813348814,447654.257090667,126.89051911231577,37.53108354670568
57,석유판매업,영업/정상,서울특별시 영등포구 대림동 667-9,191043.985319082,444464.348794306,126.89661293189718,37.50234802793324
58,석유판매업,영업/정상,서울특별시 영등포구 신길동 50-8,192593.404916499,445902.768408138,126.91412103604104,37.51532196833064
59,석유판매업,영업/정상,서울특별시 영등포구 신길동 150-6,192519.582052938,445339.090852632,126.91329179524718,37.51024265706553
60,석유판매업,영업/정상,서울특별시 영등포구 문래동1가 47-1,190791.103819063,445493.964205589,126.89374006557082,37.5116223189536
61,석유판매업,영업/정상,서울특별시 영등포구 신길동 256-4,191924.873709086,445003.432894911,126.90656911907475,37.50721334099145
62,석유판매업,영업/정상,서울특별시 성동구 마장동 771-6,203793.546955138,451637.573508806,127.0408369992086,37.567014810941174
63,석유판매업,영업/정상,서울특별시 영등포구 여의도동 10-1,193352.144918442,447573.426413342,126.9226880200317,37.53038033191856
64,석유판매업,영업/정상,서울특별시 영등포구 당산동3가 142,190896.440776379,447235.144577236,126.89490977987164,37.527311306044055
65,석유판매업,영업/정상,서울특별시 영등포구 양평동5가 6-4,190324.815986464,448295.820806256,126.88842894631009,37.53686205964448
66,석유판매업,영업/정상,서울특별시 영등포구 대림동 776-3,190712.446581534,444042.912673113,126.89286884743333,37.49854760342007
67,석유판매업,영업/정상,서울특별시 영등포구 문래동1가 17-8,191237.251842677,445726.768981469,126.89878347591726,37.51372425208137
68,석유판매업,영업/정상,서울특별시 영등포구 대림동 667-13,190987.57887496,444381.741668931,126.89597603868054,37.50160318766271
69,석유판매업,영업/정상,서울특별시 종로구 혜화동 102-2,200024.77602584,453753.206651936,126.9981781924684,37.58608393411527
70,석유판매업,영업/정상,서울특별시 성동구 금호동4가 187-2,202144.651834063,449425.22653366,127.02216689818832,37.54708698479719
71,석유판매업,영업/정상,서울특별시 강남구 역삼동 702-1 KODECO TOWER,203839.037261482,444617.505250211,127.04131583682859,37.50376429655847
72,석유판매업,영업/정상,서울특별시 강남구 청담동 127-16번지 10통8반 상지리츠빌 C동 601호,204568.43253099,447094.078336534,127.0495800520009,37.52607485519129
73,석유판매업,영업/정상,서울특별시 송파구 송파동 151 한양APT 26-903,210202.765952769,444769.72274723,127.11328803928097,37.505087841107894
