,개방서비스명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),경도,위도,LINK
0,관광숙박업,휴업,서울특별시 강남구 논현동 205-8,202596.666692428,444917.728061158,127.02726635921572,37.50647353940101,1220072300.0
1,관광숙박업,휴업,서울특별시 강북구 미아동 42-8,202651.538047427,456473.886142136,127.02792768444492,37.610593175526,1070070600.0
3,관광숙박업,휴업,서울특별시 강북구 번동 443-6,202232.199646001,459201.468505083,127.02318651026673,37.63516922464604,1080005104.0
4,관광숙박업,휴업,서울특별시 강남구 논현동 151-27,202673.67026853,445483.986504694,127.02813926624384,37.51157529811814,1220078900.0
5,관광숙박업,휴업,서울특별시 강남구 논현동 248-7,203102.074986325,445751.652027981,127.0329858924233,37.51398564552568,1220080500.0
6,관광숙박업,휴업,서울특별시 종로구 종로2가 9 (8층),198630.79627088,452035.412646906,126.9823990809181,37.57060572375323,1000023600.0
7,관광숙박업,휴업,서울특별시 영등포구 영등포동2가 94-154번지,192165.93453037,446508.000792709,126.90927934550382,37.52077152299259,1180073100.0
8,관광숙박업,휴업,서울특별시 중구 장충동2가 186-54,200141.998469463,450878.102981055,126.99950506721908,37.56017960658875,1010031400.0
9,관광숙박업,영업/정상,서울특별시 종로구 관훈동 198-11 호텔 썬비,198586.86523867,452307.07147577,126.98190125464724,37.57305326690932,1000009201.0
10,관광숙박업,영업/정상,서울특별시 중구 회현동1가 99-18번지,198142.881185174,450638.810478052,126.97687976673478,37.558021606230405,1010002607.0
11,관광숙박업,영업/정상,서울특별시 중구 광희동2가 17,200614.724711748,451381.249500534,127.00485574084672,37.56471274121103,1010010501.0
12,관광숙박업,영업/정상,서울특별시 중구 충무로2가 12-7,198877.823601669,451079.561839622,126.98519686201249,37.5619939688047,1010024500.0
13,관광숙박업,영업/정상,서울특별시 중구 남창동 9-15 10층,198065.845616529,450787.39677054,126.97600750184785,37.55936018955863,1010002401.0
14,관광숙박업,영업/정상,서울특별시 중구 쌍림동 270-2,200429.929353714,451264.595792065,127.0027640497044,37.563661796051214,1010035400.0
15,관광숙박업,영업/정상,서울특별시 중구 명동2가 31-1,198619.38819773,451135.740279961,126.9822717191972,37.56249976149007,1010005202.0
16,관광숙박업,영업/정상,서울특별시 중구 태평로2가 366-1 3층,197838.506308443,451380.770303032,126.9734327130634,37.564705899621245,1010017701.0
17,관광숙박업,영업/정상,서울특별시 중구 명동1가 10-1,198625.254251263,451373.686002948,126.98233764622348,37.56464363532855,1010011301.0
18,관광숙박업,영업/정상,서울특별시 중구 을지로5가 274-1,200110.335302043,451549.054429182,126.9991467466848,37.56622480773655,1010045100.0
19,관광숙박업,영업/정상,서울특별시 중구 소공동 70,198232.003862907,451276.307297241,126.97788683232702,37.56376556604417,1010008402.0
