,개방서비스명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),경도,위도
0,일반야영장업,영업/정상,서울특별시 서초구 원지동 207-1,204037.305842134,438472.816944022,127.0435250106603,37.44839969001258
1,일반야영장업,영업/정상,서울특별시 서초구 신원동 168,205229.00565449,437873.21212835,127.05698832570407,37.44299132746483
2,일반야영장업,영업/정상,서울특별시 구로구 항동 149-1,185004.520207159,441962.871693858,126.8283626608984,37.47973109338819
3,일반야영장업,영업/정상,서울특별시 도봉구 도봉동 469-10,202829.288460306,463770.740971776,127.02996841717793,37.67633561074738
4,일반야영장업,영업/정상,서울특별시 은평구 진관동 335-1 북한산둘레캠핑장,194522.089236978,460599.129167862,126.93582559690307,37.6477476641474
5,일반야영장업,영업/정상,서울특별시 종로구 명륜4가 198-2 한성빌딩,199743.857385642,453359.613800074,126.99499783761355,37.58253766344419
6,일반야영장업,영업/정상,서울특별시 강북구 우이동 317 우이동 가족캠핑장 방문자센터,200948.846189643,462561.261924929,127.00865105105349,37.6654422745919
7,일반야영장업,영업/정상,서울특별시 관악구 신림동 205-1 관악산공원 내,195344.276742664,439988.694489247,126.9452745352312,37.46205431876884
8,일반야영장업,영업/정상,서울특별시 은평구 진관동 330-14 북한산글램핑장,194453.569951258,460859.542618718,126.93504718930922,37.6500935091065
9,일반야영장업,영업/정상,서울특별시 성동구 성수동1가 643,203672.17913677,448820.845852735,127.03944939363227,37.54163685423366
10,일반야영장업,영업/정상,서울특별시 강동구 둔촌동 562-9번지,213480.124886733,448217.191043243,127.15041657775537,37.536107480074826
11,일반야영장업,영업/정상,서울특별시 마포구 상암동 478-1,188821.616239791,452533.037920955,126.87135622342558,37.57502177865164
12,일반야영장업,영업/정상,서울특별시 마포구 상암동 495-81,188696.594570334,451925.885396731,126.86995036773867,37.569549889253516
