,개방서비스명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),경도,위도
0,전통사찰,영업/정상,서울특별시 종로구 구기동 산 1번지,196450.832657496,458289.083133194,126.95769205043648,37.62694428155768
1,전통사찰,영업/정상,서울특별시 종로구 구기동 2번지,197516.181020308,458773.766071163,126.9697587047295,37.63131474165912
2,전통사찰,영업/정상,서울특별시 종로구 충신동 15번지,200516.095441559,452559.360165863,127.00374011649618,37.57532743043846
3,전통사찰,영업/정상,서울특별시 종로구 구기동 196-2번지,195821.879248356,457532.00485417,126.95057161299854,37.62012047510764
4,전통사찰,영업/정상,서울특별시 종로구 숭인동 178-3번지,201587.492865052,452579.450962134,127.0158686459397,37.57550729781871
5,전통사찰,영업/정상,서울특별시 서초구 서초동 산 140,201116.82103913,441532.820759269,127.01052469363081,37.47597839350993
6,전통사찰,영업/정상,서울특별시 강서구 개화동 산 81-13,182552.324924974,453190.183661248,126.80037120201344,37.58084470012831
7,전통사찰,영업/정상,서울특별시 서대문구 홍은동 8번지,195863.348034162,454965.317199561,126.9510560620017,37.596995278319596
8,전통사찰,영업/정상,서울특별시 서대문구 봉원동 1번지,195053.423698235,452390.014634837,126.94190247034408,37.573788131385875
9,전통사찰,영업/정상,서울특별시 동작구 상도동 280번지,194356.899025114,443360.945623699,126.93408793825022,37.49243279269089
10,전통사찰,영업/정상,서울특별시 강남구 삼성동 73번지,204964.438506272,445880.737479269,127.05405190200895,37.51514069491821
11,전통사찰,영업/정상,서울특별시 동대문구 회기동 109-1번지,204383.065062337,454663.990323597,127.04752757751548,37.59427983002216
12,전통사찰,영업/정상,서울특별시 은평구 진관동 산 34번지,195534.888594764,459032.610788209,126.9473115659377,37.63363924890513
13,전통사찰,영업/정상,서울특별시 은평구 진관동 354번지,195215.417977228,459532.525054496,126.9436889399548,37.63814173399379
14,전통사찰,영업/정상,서울특별시 은평구 응암동 37-13번지,194042.637932163,454998.696725592,126.93043892931047,37.597285912222084
15,전통사찰,영업/정상,서울특별시 강북구 우이동 244-4 용덕사,199954.79299432,463221.771564831,126.99738442987665,37.6713937060518
16,전통사찰,영업/정상,서울특별시 강북구 우이동 산 68-1 신검사,199381.809204172,462038.78519661,126.9908908645375,37.66073506836914
17,전통사찰,영업/정상,서울특별시 강북구 수유동 산 125번지,200385.261191235,459448.774287011,127.00226205700824,37.63739989411633
18,전통사찰,영업/정상,서울특별시 노원구 상계동 1번지,206749.857524472,464432.098640867,127.07441637289308,37.68227406810003
19,전통사찰,영업/정상,서울특별시 노원구 상계동 산 154-1번지 51통6반,207130.401647665,465099.300967952,127.07873686487113,37.6882825060313
20,전통사찰,영업/정상,서울특별시 관악구 남현동 519-3번지,197850.771608717,440601.39463495,126.9736039865893,37.46758416560361
21,전통사찰,영업/정상,서울특별시 성북구 정릉동 산 1-1번지,199058.337168495,457988.15598168,126.98723046736117,37.62423954041867
22,전통사찰,영업/정상,서울특별시 성북구 성북동 2동 330-76호,198888.209911699,454622.457968864,126.98530873207059,37.59391500666101
23,전통사찰,영업/정상,서울특별시 성북구 돈암동 593번지,200574.351286685,455118.721872189,127.00440136763147,37.598386875379724
24,전통사찰,영업/정상,서울특별시 도봉구 도봉동 549번지,201631.487977155,465744.05268809,127.01639489518944,37.69411738754172
25,전통사찰,영업/정상,서울특별시 종로구 견지동 45번지,198369.673994286,452399.957460173,126.97944245541177,37.573889783992264
26,전통사찰,영업/정상,서울특별시 종로구 봉익동 2번지,199230.47059495,452374.064148799,126.98918673106164,37.573657669942826
27,전통사찰,영업/정상,서울특별시 종로구 홍지동 80-1번지,196300.203464322,455463.787019164,126.95600024512973,37.60148829793212
28,전통사찰,영업/정상,서울특별시 종로구 숭인동 17-1번지,201410.859114101,453067.82734527,127.013869999568,37.57990777954305
29,전통사찰,영업/정상,서울특별시 종로구 평창동 산 6-1번지,197665.348592744,457781.709134795,126.97145183934134,37.622376916953556
30,전통사찰,영업/정상,서울특별시 종로구 창신동 130-1,201109.784838676,452572.625048854,127.01046084845616,37.57544646305688
31,전통사찰,영업/정상,서울특별시 도봉구 도봉동 549,201631.487977155,465744.05268809,127.01639489518944,37.69411738754172
32,전통사찰,영업/정상,서울특별시 강서구 개화동 332-2번지,182725.95437961,453445.198567229,126.80233083217522,37.58314562024138
33,전통사찰,영업/정상,서울특별시 강서구 등촌동 산 23-4번지,187185.306963357,449056.366035562,126.85289394136036,37.543676006185905
34,전통사찰,영업/정상,서울특별시 서대문구 홍은동 8,195863.348034162,454965.317199561,126.9510560620017,37.596995278319596
35,전통사찰,영업/정상,서울특별시 서대문구 봉원동 1,195053.423698235,452390.014634837,126.94190247034408,37.573788131385875
36,전통사찰,영업/정상,서울특별시 동작구 동작동 305번지,196811.666474237,444056.768660908,126.96184270078356,37.49871405479424
37,전통사찰,영업/정상,서울특별시 동작구 흑석동 산 61-34번지,196616.664560635,444035.535376129,126.95963758720721,37.498522035991925
38,전통사찰,영업/정상,서울특별시 동대문구 청량리동 61,204113.679818772,453983.762426676,127.04447353742472,37.58815230659403
39,전통사찰,영업/정상,서울특별시 금천구 시흥동 234,193341.960695953,438934.877417659,126.9226516714401,37.452546995475245
40,전통사찰,영업/정상,서울특별시 강북구 우이동 산 69 도선사,198958.899761771,461456.748314697,126.98609882600081,37.65549065311597
41,전통사찰,영업/정상,서울특별시 강북구 수유동 487 화계사,200576.135574246,458917.047650364,127.00442422719007,37.6326090677657
42,전통사찰,영업/정상,서울특별시 강북구 수유동 산 164-5,200196.25305016,458698.567533498,127.00012052379383,37.6306407416768
43,전통사찰,영업/정상,서울특별시 관악구 신림동 318번지,194135.0721631,439681.433124505,126.93160918926849,37.459278920731926
44,전통사찰,영업/정상,서울특별시 관악구 신림동 194-1번지,195880.008889136,438509.911695946,126.95133838421309,37.44873298593994
45,전통사찰,영업/정상,서울특별시 도봉구 도봉동 546,200872.925510438,464508.687342073,127.00779272869565,37.68298810132393
46,전통사찰,영업/정상,서울특별시 종로구 창신동 130 - 1,201109.784838676,452572.625048854,127.01046084845616,37.57544646305688
47,전통사찰,영업/정상,서울특별시 은평구 진관동 산 25번지,195849.356516482,460414.240372779,126.95086623184685,37.64608890829245
48,전통사찰,영업/정상,서울특별시 관악구 신림동 198번지,194861.009204839,439494.442583259,126.939815578204,37.45759849501629
