,개방서비스명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),경도,위도
0,목욕장업,영업/정상,서울특별시 마포구 성산동 450,191304.309048494,451856.908089054,126.89946884050157,37.568956894039815
1,목욕장업,영업/정상,서울특별시 마포구 망원동 424-16,191550.040152602,450702.790474426,126.90226373132164,37.55856074014245
2,목욕장업,영업/정상,서울특별시 동대문구 전농동 1-97 1~2층,205839.528807366,452719.1915704,127.06400395969574,37.57674950032291
3,목욕장업,영업/정상,서울특별시 구로구 고척동 312-13번지,186899.30897632,444239.550542017,126.84974400824339,37.5002728318576
4,목욕장업,영업/정상,서울특별시 마포구 성산동 252-4,191857.555789257,450672.297140455,126.90574444168686,37.55828878777938
5,목욕장업,영업/정상,서울특별시 강남구 역삼동 707-16,203943.797785634,444481.642793539,127.04249990290249,37.502539744439396
6,목욕장업,영업/정상,서울특별시 동작구 사당동 73-28,198229.010902141,443133.583385959,126.97787329013134,37.49040006289717
7,목욕장업,영업/정상,서울특별시 동작구 노량진동 284-5번지,194279.958396963,445382.047505082,126.9332020291432,37.510642400123515
8,목욕장업,영업/정상,"서울특별시 강남구 압구정동 369-1번지 ,B상가",202398.594377612,447864.763737276,127.02503554776256,37.533026724065515
9,목욕장업,영업/정상,서울특별시 마포구 서교동 487 서교동 대우미래사랑 지하1층 일부,192577.990805265,450569.670545853,126.91389912701077,37.55737026601244
10,목욕장업,영업/정상,"서울특별시 마포구 염리동 174-14 지하1,2층",195038.105005811,448896.754707491,126.9417529884038,37.54231414715252
11,목욕장업,영업/정상,서울특별시 마포구 도화동 550 삼성아파트 지하상가 201호,195542.119522775,448652.176751796,126.94745754617145,37.5401131281072
12,목욕장업,영업/정상,서울특별시 강남구 논현동 242-23번지 지하1층,203561.878195726,445938.92818605,127.0381876069559,37.51567136947421
13,목욕장업,영업/정상,서울특별시 강남구 신사동 554-13번지,202036.037230419,446579.90292365,127.02093018241743,37.52145104463233
14,목욕장업,영업/정상,"서울특별시 강남구 신사동 505-7번지 지하1,2층",201621.76711437,446540.474919442,127.01624383125409,37.52109659202243
15,목욕장업,영업/정상,서울특별시 마포구 연남동 565-15번지,192937.736221403,450878.984950718,126.917967549918,37.56016000550957
16,목욕장업,영업/정상,서울특별시 동작구 흑석동 98-1,196619.592938309,444995.282859961,126.95966621047758,37.50716935354916
17,목욕장업,영업/정상,서울특별시 강남구 일원동 711번지 도시개발,207914.471699463,443385.050640776,127.08739352813826,37.49263425902201
18,목욕장업,영업/정상,서울특별시 강남구 논현동 111-13,203489.992662935,446195.189237957,127.03737568676807,37.51798054076551
19,목욕장업,영업/정상,서울특별시 강남구 역삼동 663-15 지하1층,203439.066372164,444879.770000355,127.03679359470844,37.50612884419282
20,목욕장업,영업/정상,서울특별시 강남구 역삼동 603-1,202535.919022141,444822.174971826,127.02657899146728,37.50561277280215
21,목욕장업,영업/정상,서울특별시 강남구 대치동 890-60번지 지하2층,204639.090092973,444728.353701831,127.05036467079812,37.50475942249426
22,목욕장업,영업/정상,서울특별시 강남구 역삼동 789-12번지 지하1층,203192.324562737,443627.850215224,127.03399767508509,37.49484993407192
23,목욕장업,영업/정상,서울특별시 강남구 논현동 83-20 지하1층,202962.771933869,446064.852242334,127.03141147297453,37.51680801552824
24,목욕장업,영업/정상,서울특별시 강남구 논현동 201-1,202162.281625975,444783.30832928,127.02235314783401,37.50526350949019
25,목욕장업,영업/정상,서울특별시 강남구 대치동 1002 코스모타워 지하2층,205710.170088377,444934.283205797,127.06247971818733,37.50660891561155
26,목욕장업,영업/정상,서울특별시 강남구 청담동 53-7,204714.758457103,446852.078363788,127.0512338770348,37.52389372290785
27,목욕장업,영업/정상,서울특별시 강남구 청담동 53-7,204714.758457103,446852.078363788,127.0512338770348,37.52389372290785
28,목욕장업,영업/정상,서울특별시 강남구 역삼동 837-11번지,202725.962072631,443203.561575728,127.02872247114713,37.49102855576122
29,목욕장업,영업/정상,서울특별시 강남구 삼성동 7-3 삼성레미안2차(아)단지내상가 B01호,203770.384197358,445992.329114168,127.04054633578325,37.516151696325174
30,목욕장업,영업/정상,서울특별시 강남구 역삼동 702-13 성지하이츠빌딩 지하2층,203931.098064589,444622.849264371,127.04235702057937,37.503812065197486
31,목욕장업,영업/정상,서울특별시 강남구 논현동 114-14번지 지하1층,203145.7578939,446097.36014093,127.03348143735523,37.51710031777902
32,목욕장업,영업/정상,서울특별시 강남구 역삼동 773-7 선인빌딩 지하1층,203908.905,443857.465,127.04210203114964,37.49691605744066
33,목욕장업,영업/정상,서울특별시 동작구 사당동 169-8번지,197545.985381694,442685.886949892,126.97015156348243,37.48636470712864
34,목욕장업,영업/정상,서울특별시 강남구 삼성동 144-10 삼성동 우정에쉐르2,204778.383032581,444983.764244002,127.05194165235055,37.50705996459017
35,목욕장업,영업/정상,서울특별시 동작구 상도동 322-22,193793.826631141,444076.328638407,126.92771477900526,37.49887473496513
36,목욕장업,영업/정상,서울특별시 강남구 역삼동 738-0 지하1층,203156.891275756,444041.112746835,127.03359872846103,37.49857354506967
37,목욕장업,영업/정상,"서울특별시 강남구 논현동 206-6번지 ,7,8",202790.401001852,445027.697310481,127.02945787174966,37.50746380813523
38,목욕장업,영업/정상,서울특별시 강남구 논현동 248-7번지,203102.074986325,445751.652027981,127.0329858924233,37.51398564552568
39,목욕장업,영업/정상,서울특별시 강남구 논현동 203번지,202422.404397085,444877.223579374,127.02529534974907,37.50610905632528
40,목욕장업,영업/정상,서울특별시 강남구 청담동 56-17,204602.417597549,446850.623132464,127.04996301530011,37.523881170537074
41,목욕장업,영업/정상,서울특별시 강동구 둔촌동 51번지,212714.696142279,448035.586198761,127.14175317255373,37.53448205066562
