,개방서비스명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),경도,위도
0,의원,영업/정상,서울특별시 구로구 구로동 650번지 4호 SK허브수,188674.995072188,443749.503020388,126.86983261122901,37.49588111944704
1,의원,영업/정상,서울특별시 구로구 개봉동 359번지 13호 성은빌딩,187046.36902326,442668.752856504,126.8514348664153,37.486122079332645
2,의원,영업/정상,서울특별시 구로구 개봉동 403번지 44호,187215.740793865,443275.563712122,126.85333932146726,37.491591800280624
3,의원,영업/정상,서울특별시 구로구 구로동 1125번지 1호 부호빌딩,191239.693382941,442430.463625802,126.89885061349364,37.48402464534474
4,의원,영업/정상,서울특별시 구로구 구로동 235번지 한신아이티타워,190594.904645635,442261.654499191,126.8915625165878,37.482497294625276
5,의원,영업/정상,서울특별시 구로구 개봉동 403번지 53호,187166.338835564,443250.627612101,126.85278114240216,37.49136643850051
6,의원,영업/정상,서울특별시 구로구 개봉동 202번지 17호 진영빌딩,187434.769427132,443559.941447823,126.85581112408468,37.49415705475481
7,의원,영업/정상,서울특별시 구로구 개봉동 403번지 68호 대성빌딩,187231.137062471,443090.011520129,126.85351664974814,37.489920194092655
8,의원,영업/정상,서울특별시 구로구 구로동 197번지 5호 삼성IT밸리,190612.779366379,442662.421914354,126.89175946928582,37.486108390272285
9,의원,영업/정상,서울특별시 구로구 신도림동 338번지 신도림2차푸르지오 301호,190156.399992266,445369.517787461,126.8865628591849,37.51049447025954
10,의원,영업/정상,서울특별시 구로구 구로동 100번지 8호 신안타워,190099.217394597,443743.18319767,126.8859381232331,37.49584063725699
11,의원,영업/정상,서울특별시 구로구 오류동 10-1,185986.133598256,443725.340023989,126.83942686253464,37.49562635239637
12,의원,영업/정상,서울특별시 구로구 개봉동 361번지 4호,186914.38135061,442658.621139659,126.84994269703428,37.48602892428464
13,의원,영업/정상,서울특별시 구로구 구로동 8번지 17호,190188.145705079,444823.105868276,126.88692925216546,37.50557166200234
14,의원,영업/정상,서울특별시 구로구 신도림동 375번지 1호 보미플라자,189772.876108997,445262.493847028,126.88222653637501,37.50952599482262
15,의원,영업/정상,서울특별시 구로구 고척동 253번지 11호 두발로빌딩,186666.582498006,444503.991525664,126.84710732011409,37.50265208674552
16,의원,영업/정상,서울특별시 구로구 구로동 766번지 207호,190215.052305117,442973.265428003,126.88725830956328,37.4889049341531
17,의원,영업/정상,서울특별시 구로구 궁동 199번지 6호,185294.8470884,443478.840911567,126.83161462690045,37.49339461376667
18,의원,영업/정상,서울특별시 구로구 개봉동 156번지 5호 대림프라자,187165.943935519,443936.217551483,126.85276466510977,37.49754357536018
19,의원,영업/정상,서울특별시 구로구 고척동 258번지 5호,186684.485444637,444518.108994515,126.84730953197605,37.50277954396093
20,의원,영업/정상,서울특별시 구로구 가리봉동 25번지 64호,189837.221459608,442515.356008999,126.88299246905645,37.484775071167896
21,의원,영업/정상,서울특별시 구로구 개봉동 403번지 55호,187171.397065781,443189.380697988,126.8528394109497,37.49081467612828
22,의원,영업/정상,서울특별시 구로구 개봉동 156번지 5호 대림프라자,187165.943935519,443936.217551483,126.85276466510977,37.49754357536018
23,의원,영업/정상,"서울특별시 구로구 개봉동 161번지 25호 1~2층, 4층일부, 5층",187190.111430769,443880.346195961,126.85303893953552,37.49704051365839
24,의원,영업/정상,서울특별시 구로구 오류동 37번지 7호,186163.283062821,443831.592757294,126.84142809184227,37.496586367537574
25,의원,영업/정상,서울특별시 구로구 오류동 37번지 7호,186163.283062821,443831.592757294,126.84142809184227,37.496586367537574
26,의원,영업/정상,서울특별시 구로구 구로동 142번지 75호 정내과,190428.538705666,443241.6656571,126.8896687256958,37.491325467150844
27,의원,영업/정상,서울특별시 구로구 오류동 55번지 50호 3층일부,186212.084054908,443782.555826869,126.84198087149994,37.49614527979397
28,의원,영업/정상,서울특별시 구로구 개봉동 403번지 95호,187208.353423988,442714.449838492,126.85326558440235,37.48653607557954
29,의원,영업/정상,서울특별시 구로구 구로동 685번지 124호 중앙구로하이츠아파트,188973.657255048,443848.715615601,126.87320845449649,37.496778655543466
30,의원,영업/정상,서울특별시 구로구 구로동 313번지 119호,190278.288744443,443061.838685268,126.88797215802214,37.48970364984131
31,의원,영업/정상,서울특별시 구로구 구로동 3번지 25호 신도림테크노마트,190232.524534335,444978.682746138,126.88742908395564,37.50697387704599
32,의원,영업/정상,서울특별시 구로구 고척동 253번지 11호 두발로빌딩,186666.582498006,444503.991525664,126.84710732011409,37.50265208674552
33,의원,영업/정상,서울특별시 구로구 고척동 52번지 74호,187932.89401264,444516.503683237,126.86142812862414,37.50278232033883
34,의원,영업/정상,서울특별시 구로구 구로동 98번지 대림오페라타워,190151.087788499,443666.065893922,126.88652572360807,37.49514637013975
35,의원,영업/정상,서울특별시 구로구 고척동 94번지 8호,187278.27157367,444008.225998653,126.85403366721691,37.49819393015963
36,의원,영업/정상,서울특별시 구로구 구로동 754번지 7호 남부빌딩,189649.97735104,443171.415450471,126.88086610616898,37.49068406743367
37,의원,영업/정상,서울특별시 구로구 구로동 685번지 448호 신영상가,188999.735767494,443303.671762993,126.87351155139997,37.491868137041585
38,의원,영업/정상,서울특별시 구로구 구로동 313번지 95호 에벤에셀,190190.535273676,443094.051861173,126.88697947157758,37.489992956647534
39,의원,영업/정상,"서울특별시 구로구 개봉동 407번지 18호 ,2층",187433.534139461,443461.41933817,126.8557988458021,37.493269356731965
40,의원,영업/정상,서울특별시 구로구 오류동 353번지 1호 골드프라자,185651.200187402,442660.967785404,126.83566021489561,37.486031231767086
41,의원,영업/정상,서울특별시 구로구 구로동 314번지 극동아파트,190186.001622359,443209.462254601,126.88692665973524,37.49103275407787
42,의원,영업/정상,서울특별시 중랑구 신내2동 645번지 홈플러스 2층,208208.786684767,457054.793655589,127.09087324152529,37.61579463074159
43,의원,영업/정상,서울특별시 중랑구 상봉2동 118번지 5호,207208.057491391,454772.376318377,127.07951634270813,37.59523878436356
44,의원,영업/정상,서울특별시 양천구 신정동 973번지 30호 2층,187061.011280709,446602.905581004,126.85153090072775,37.521568810913216
45,의원,영업/정상,서울특별시 중랑구 망우본동 470번지 11호 6층,208574.566606995,455201.404791635,127.09499465504591,37.59909263857449
46,의원,영업/정상,서울특별시 중구 신당동 373번지 3호 동양빌딩 2층 203호,200929.515411973,450242.717073989,127.0084174028946,37.554454440899896
47,의원,영업/정상,서울특별시 중구 황학동 668번지 황학아크로타워 2층 217호,201818.834333334,451579.319666666,127.01848510333576,37.56649582544842
48,의원,영업/정상,서울특별시 중구 서소문동 120번지 14호 4층,197604.36730827,451110.547640244,126.97078348351842,37.56227062819841
49,의원,영업/정상,서울특별시 중구 순화동 217번지 덕수궁롯데캐슬 1층 120호,197312.655183004,451257.223181993,126.967481255668,37.563591333826345
50,의원,영업/정상,"서울특별시 중구 중림동 398번지 9호 2,3층",196711.099340642,450733.44040347,126.9606749559192,37.558870115452336
51,의원,영업/정상,서울특별시 양천구 신월동 27번지 6호,184705.839940901,448625.102280957,126.82484675760372,37.53975241507303
52,의원,영업/정상,서울특별시 양천구 신정동 769번지 9호,185615.520850794,445480.509688438,126.8352014488555,37.51143461298685
53,의원,영업/정상,서울특별시 송파구 방이동 44번지 1호,209879.174643529,446088.51074896,127.10964594225648,37.516973555711495
54,의원,영업/정상,서울특별시 송파구 신천동 17번지 4호,209151.713940169,446519.612162961,127.10142266220869,37.52086520261506
55,의원,영업/정상,서울특별시 송파구 장지동 880번지 대길프라자,212509.060261175,442181.794453598,127.13932757828455,37.48174248668535
56,의원,영업/정상,서울특별시 중랑구 면목동 178번지 52호,206831.16196502,454060.213250261,127.07524208058918,37.58882515769927
57,의원,영업/정상,서울특별시 중랑구 신내2동 646번지 금강리빙스텔 202호,208112.860200669,457113.638411288,127.08978738999562,37.61632565432783
58,의원,영업/정상,서울특별시 중랑구 상봉동 74-46 성환빌딩,208240.86652649,455162.056999516,127.09121545088195,37.59874114648496
59,의원,영업/정상,서울특별시 중랑구 망우본동 470번지 11호 외1필지4층,208574.566606995,455201.404791635,127.09499465504591,37.59909263857449
60,의원,영업/정상,서울특별시 중랑구 면목본동 1216번지,207700.345591851,453988.511689469,127.08508247667577,37.58817234069591
61,의원,영업/정상,서울특별시 서초구 반포동 32번지 1호 반포메딕스 401호,200982.169900218,444468.719796887,127.00900608840804,37.502430999286105
62,의원,영업/정상,서울특별시 서초구 방배동 984번지 1호 204호,199783.057194961,442111.603972035,126.99544593897217,37.48119379848368
63,의원,영업/정상,서울특별시 서초구 양재동 326-7 한석빌딩,203470.772394968,440773.57015373,127.03713318931686,37.46913184798965
64,의원,영업/정상,서울특별시 중랑구 면목동 118번지 1호,207529.024369805,453948.919232668,127.08314234299031,37.5878170235654
65,의원,영업/정상,서울특별시 양천구 신월동 575번지 1호,186007.943213494,446225.17755519,126.83962572899651,37.51815007520424
66,의원,영업/정상,서울특별시 양천구 신월동 575번지 1호,186007.943213494,446225.17755519,126.83962572899651,37.51815007520424
67,의원,영업/정상,서울특별시 양천구 목동 907번지 4호,189197.506088261,448244.523188923,126.87567485920106,37.53638728252555
68,의원,영업/정상,서울특별시 양천구 신정4동 900번지 14호,187903.955709963,447135.710268595,126.86105755028632,37.526380830855956
